character gender,characters,type,Character_dialogue
587,,,
1893,,,
2480,,,
F,MISS PERKY,1,"No ... I believe heinous bitch is the  term used most often. She grimaces, as if she's referring to a medical condition."
F,BIANCA,1,"Can you turn down the Screaming  Menstrual Bitches?  I am trying to study. Kat doesn't move, so Bianca crosses to the stereo, turning  down the volume."
F,BIANCA,1,"Bogey Lowenstein's party is normal, but  you are too busy listening to Bitches Who  Need Prozac to know that."
F,RITA,1,"Dat bitch Quinn, I am 'onna sue her ass. 'Swear tuh God..."
F,RITA,1,Bitch say I don't talk right. Trevor scrutinizes her with a glance.        Now back to Rita's essay.
F,MEREDITH VO,1,"Liz hates me ... She's a lady ... Rich bitch ... Fuck all to do 'cept shop and wank... Bored out of her box... She's at the window ... looking out looking down... We see the upper regency window ... Behind it, staring through, looking down, is LIZ ... Wearing electric pink jodhpurs ... Leafgreen, silk, blouse and stock ... Riding boots ... Her face spectacularly made up  severe.... Over this we hear... MEREDITH VO  I am in the drive, waxing the Bentley... I can feel her eyes... on me... scorching through my dovegrey uniform... but I will be damned if I am gonna look at her... I know she's crying... and I can feel her loneliness ... emptiness... longing... So I am buffin' away with my cloth... my little chamois  leather... MEREDITH stops waxing ... LIZ at the window staring down... he does not look at her... MEREDITH VO  Think I will ave a fag... One deserve one ... Its hard work rubbing a car down... I smoke  What do I smoke Col?                                               "
F,MCKENZIE,1,Dude. I hear she's a bitch from hell
F,CALL,1,"You bitch, let go of me She does, and Call rises. The noise is gone. What she can see of the soldiersis parts. She is shaking at the vision when an alien RISES in front on the  soldiers.  Call ducks back down, terrified. Christie hisses at her."
F,LESTER,1,"You better watch yourself, Janie, or you are going to turn into a real bitch, just like your mother. Jane is stunned. She quickly rises, trying to get out of the kitchen before she starts crying."
F,JANE,1,"You shut up, bitch"
F,CASSANDRA,1,Stacey's meandering around here somewhere Have you seen the bitch? Derek shakes his head.
F,SALLY,1,"Oh, Jesus, Panes.  I can't, I can't believe that bitch is in my house."
F,CHARLOTTE,1,"Okay, bitch, I am ready  WITH "
F,GRACE,1,so the kid's out there one night and he's got the Queen Bitch herself offering him the spare room and the car keys. Unbelievable.
F,ELIZABETH,1,"Get out of my house, bitch"
F,ELIZABETH,1,Little bitches.
F,PROSTITUTE,1,"You best step off, bitch, because this is my block. This here's Poetry's block."
F,LESLEY,1,"you, bitch. What do you do with a love like that?"
F,EVE,1,"Adam  She's got bitch written all over her  You do know what bitch means, don't you?"
F,CHLOE,1,"Yo, Bitch."
F,NICKI,1,"Bitch, you are just jealous."
F,CLAIRE,1,You are such a bitch  You did that on purpose just to fuck me over
F,LENA,1,You bitch
F,NIKKI,1,WHAT? That bitch can't dance my part
F,NIKKI,1,Stupid bitch. Nikki flips her off and keeps walking. Then turns once more
F,NIKKI,1,"You crazy bitch Nikki screeches off, leaving Tess alone in the parking lot. Tess stands there a moment, then HEADS back into the club. "
F,CONNIE,1,"Great to see you again, Sandra She gives them a cold smile as a technician finishes unclipping her lavaliere and she leaves. Connie looks at Del and mouths Bitch. 138   "
F,CARA,1,"I am not a ballerina anymore, bitch. She races off. Mitch painfully pulls himself to his feet."
F,NATALIE,1,"Dylan, we were set up. Vivian Wu is not who she says she is. She's a former assassin and an all around bitch."
F,NATALIE,1,"You bitch   I like that guy. Mocking, Vivian wipes away a tear. Natalie lets forth a typhoon of fury, a fullout Mortal Kombat. Vivian is thrown back against the bookcase, where she knocks over a candlestick. That's the trigger for the bookcases to begin sinking into the floor. Circling around the room, each set of shelves drops to a different level, forming steps that lead to the upstairs room. As Natalie and Vivian continue to fight, Bosley sticks his head down from above, watching the brawl. Natalie is kicking ass."
F,WOMAN,1,I am the voice of reason that Miss  Bitch is having such a hard time  listening to.
F,LANCEY,1,"Sure, sure. Haven't seen the dear  old bitch in fifteen years."
F,SHELLY,1,"You think that's bad? That's just a  taste, bitch. You are still here when  Bernie gets home and I will finish the  job. I will cut you into so many fuckin'  pieces, the vultures will be trading  on you for a month. Shelly reaches into his jacket, pulls out a wad of bills. Throws them at Natalie."
F,VANESSA,1,My daddy's gonna come and kick your butts. Sona just reaches out and slaps her. It hurts and surprises Vanessa. Tears come to her eyes. But she's Fait's daughter she won't let this bitch make her cry. Charles takes Vanessa out. Ling's mind is still on the phone call.
F,VERONA,1,"Right, so... let's go get the bitch."
F,ASHE,1,Lady Luck's a bitch. Ashe produces another wooden match.
F,CURVE,1,"Some bitch down at the Gargoyle, but what's that got to do with... Judah grips Curve's shoulders tightly, shaking him."
F,CLARA,1,Wow. What a bitch.
F,CLARA,1,"Charlie?? Lucy??  appened to boundaries matter? .h? What happened to that, bitch?"
F,VANESSA,1,"Just rode a bitch's back, like Yoda on Luke?"
F,ANGEL DUST,1,"C amere, ya little bitch. NTW fights back valiantly, PUNCHING fast and hard with FLURRIES of ENERGY. Angel Dust is scorched and battered by the blows, but her adrenaline and rage SURGE. She grabs NTW around the neck, plants her into the ground... and begins to CHOKE the life out of her.        NTW flails, cannot break Angel Dust's grip... but marshals her last remaining energy to live up to her name... and EXPLODE like an ALMIGHTY WARHEAD.         BOOM  WIDE to a GARGANTUAN EXPLOSION. Deadpool   Final Shooting Script   111615 71                                                               71 The ship SHAKES VIOLENTLY, then starts to LIST at a DANGEROUS 72   "
F,COCO,1,"Muffins. I hate to do it, but Imma have to get real Black with you. So the other day, a girl had the nerve to fix her mouth and ask me if my hair was weaved. Weaved. Weaved bitch?"
F,ANNIE,1,Hey who am I? Bitch it's weave. Noun. Present tense ho Right in the gut. She's playing Coco. Coco grabs her phone... 84   
F,BLONDE WOMAN,1,"You want my advice, I had stay away  from that bitch. She opens the door to the room across the hall. A dump. Hull  walks in, drops his duffle he will take it. The Blonde lounges  in the doorway. He closes the door. "
F,BELINDA,1,spunkier than we have  seen I ain't doin' shit. Bitch... 
F,SID,1,"Was he sorry? I hope he was sorry, man. You could have told his wife, and you didn't. I hope he knows how lucky he is. I would have told her everything. She deserves to know. Or else she's going to be a dumb bitch the rest of her life."
F,STEPHANIE,1,"I beat you, you old bitch Next time take your Geretol The old woman bends down, beneath Stephanie's view. Stephanie looks about. Where had she go? The old woman pops up into view, raising a chunk of concrete and... CRASHI Stephanie SCREAMS as the window shatters. The old woman's head juts into the cart She clamps her toothless maw down upon Stephanie.'s chin. Suckling it, gumming. The old woman's good eye rolls about in ecstacy. Stephanie SHRIEKS as she pushes the slobbering head away. Strands of spittle form a bridge from the old woman's mouth to Ste phanie's jaw. The old woman's wrinkled hands grope about the front seat. She finds her dentures, now damaged from the fight. She GRUNTS as she jams them back into her mouth. She comes at Stephanie, mouth wide open and SHRIEKING Stephanie grabs the wooden ruler from her cardboard box and shoves it down the old lady's throat. Mrs. Ganush gags, trying to retch up the ruler. Then Stephanie is suddenly screaming herself, as the old 1 Woman has grabbed her legs and is dragging her from the car. Stephanie hits the pavement. She shields her face with her hands, waiting, but the blow never comes. The old woman standing above her, WHEEZING."
F,MONA,1,"What's the matter with you? You psycho bitch from... Piper spins on Mona, points a finger in warning."
F,AMBER,1,Hi. Becky notices their attraction and goes from flirt to  uberbitch in a heartbeat.
F,BECKY,1,"Well, as my mother says at Sunday  dinner, Come and get it, bitch"
F,AMBER,1,Bitch
F,COLLEEN,1,That bitch from...
F,COLLEEN,1,The bitch.
F,RHIANNON,1,You are lying. You are a lying bitch and I hate you so much right now.
F,OLIVE,1,She did it first And here I am feeling SOOOO bad and THAT BITCH
F,TAMMY,1,"Dear God, I know I don't believe in  you, but since I will be starting Catholic  school soon, I thought I should  practice.  Let's see... what do I want?   I want people to be nicer to each other.   I want Lisa to realize what a bitch she  has been and feel really bad and  apologize for how she hurt me and know  how much I still love her.  In spite of  everything, I still want Paul to win the  election tomorrow, not that cunt Tracy.   I also want a really expensive pair of  leather pants... and someday I want to  be really good friends with Madonna.   Love, Tammy "
F,ERIN,1,"I am not talking to you, bitch. "
F,MISS ADRIAN,1,"Not now, you fool, not now. Those  crazed bitches have led innocent  women out and are slaughtering them  at this moment. We will all be killed.  Oh Ohhh Another CAMERAMAN spits out a wad of chewing gum."
