gender,type,offensive,mid,vertjaune
F,neutral,NA,NA,NA
F,neutral,NA,NA,NA
F,neutral,NA,NA,NA
F,neutral,NA,NA,NA
F,neutral,NA,NA,NA
F,neutral,NA,NA,NA
F,neutral,NA,NA,NA
F,neutral,NA,NA,NA
F,neutral,NA,NA,NA
F,neutral,NA,NA,NA
F,neutral,NA,NA,NA
F,neutral,NA,NA,NA
F,neutral,NA,NA,NA
F,neutral,NA,NA,NA
F,neutral,NA,NA,NA
F,neutral,NA,NA,NA
F,neutral,NA,NA,NA
F,neutral,NA,NA,NA
F,neutral,NA,NA,NA
F,neutral,NA,NA,NA
F,neutral,NA,NA,NA
F,neutral,NA,NA,NA
F,neutral,NA,NA,NA
F,positive,NA,NA,NA
F,positive,NA,NA,NA
F,positive,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,self,NA,NA,NA
F,1,OF,MIDF,NA
F,1,OF,MIDF,NA
F,1,OF,MIDF,NA
F,1,OF,MIDF,NA
F,1,OF,MIDF,NA
F,1,OF,MIDF,NA
F,1,OF,MIDF,NA
F,1,OF,MIDF,NA
F,1,OF,MIDF,NA
F,1,OF,MIDF,NA
F,1,OF,MIDF,NA
F,1,OF,MIDF,NA
F,1,OF,MIDF,NA
F,1,OF,MIDF,NA
F,1,OF,MIDF,NA
F,1,OF,MIDF,NA
F,1,OF,MIDF,NA
F,1,OF,MIDF,NA
F,1,OF,MIDF,NA
F,1,OF,MIDF,NA
F,1,OF,MIDF,NA
F,1,OF,MIDF,NA
F,1,OF,MIDF,NA
F,1,OF,MIDF,NA
F,1,OF,MIDF,NA
F,1,OF,MIDF,NA
F,1,OF,MIDF,NA
F,1,OF,MIDF,NA
F,1,OF,MIDF,NA
F,1,OF,MIDF,NA
F,1,OF,MIDF,NA
F,1,OF,MIDF,NA
F,1,OF,MIDF,NA
F,1,OF,MIDF,NA
F,1,OF,MIDF,NA
